"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Dell_84:a2:eb","Broadcast","ARP","60","Who has 192.168.20.1? Tell 192.168.20.193"
"2","0.021871","JRCTOKKI_33:5f:21","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.53"
"3","0.022405","MotionContro_5f:b0:92","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.49"
"4","0.025428","10.20.5.18","224.0.0.251","MDNS","93","Standard query 0x0000 ANY DESKTOP-NK9OK9S._dosvc._tcp.local, ""QM"" question"
"5","0.025428","fe80::1e3f:5443:5666:ddb4","ff02::fb","MDNS","113","Standard query 0x0000 ANY DESKTOP-NK9OK9S._dosvc._tcp.local, ""QM"" question"
"6","0.026606","JRCTOKKI_2c:94:40","Broadcast","ARP","60","ARP Announcement for 192.168.153.54"
"7","0.047014","Dell_84:a3:29","Broadcast","ARP","60","Who has 192.168.20.1? Tell 192.168.20.194"
"8","0.061042","MantraSoftec_3:5f:22","Broadcast","ARP","60","Who has 192.168.5.1? Tell 192.168.5.95"
"9","0.124186","Dell_84:a2:ea","Broadcast","ARP","60","Who has 169.254.169.254? Tell 192.168.20.202"
"10","0.125058","Dell_84:a2:eb","Broadcast","ARP","60","Who has 192.168.20.2? Tell 192.168.20.193"
"11","0.156645","JRCTOKKI_2f:e4:0c","Broadcast","ARP","60","Who has 10.9.8.169? Tell 10.9.8.156"
"12","0.167506","JRCTOKKI_2f:e4:0c","Broadcast","ARP","60","Who has 10.9.8.166? Tell 10.9.8.156"
"13","0.169297","JRCTOKKI_2f:e4:0c","Broadcast","ARP","60","Who has 10.9.8.173? Tell 10.9.8.156"
"14","0.207736","ElitegroupCo_e8:c4:af","Broadcast","ARP","60","Who has 172.16.3.79? Tell 172.16.3.34"
"15","0.224223","fe80::62fb:ff:fec1:d862","ff02::1:ffcb:17b7","ICMPv6","86","Neighbor Solicitation for fe80::9fc6:8743:8dcb:17b7 from 60:fb:00:c1:d8:62"
"16","0.270386","192.168.20.201","224.0.0.251","MDNS","75","Standard query 0x0000 A Antivirus.local, ""QM"" question"
"17","0.270386","172.16.3.4","224.0.0.251","MDNS","85","Standard query response 0x0000 A 172.16.3.4"
"18","0.270386","fe80::9915:2f4d:1f95:cf28","ff02::fb","MDNS","95","Standard query 0x0000 A Antivirus.local, ""QM"" question"
"19","0.271804","10.20.5.196","224.0.0.251","MDNS","75","Standard query 0x0a64 PTR Antivirus.local, ""QM"" question"
"20","0.271804","192.168.20.201","224.0.0.251","MDNS","75","Standard query 0x0000 AAAA Antivirus.local, ""QM"" question"
"21","0.272002","fe80::9915:2f4d:1f95:cf28","ff02::fb","MDNS","95","Standard query 0x0000 AAAA Antivirus.local, ""QM"" question"
"22","0.272303","172.16.3.4","224.0.0.251","MDNS","104","Standard query response 0x0000 NSEC Antivirus.local"
"23","0.273379","HewlettPacka_ce:2a:06","Broadcast","ARP","60","Who has 8.8.8.8? Tell 172.16.0.1"
"24","0.273379","fe80::9915:2f4d:1f95:cf28","ff02::1:3","LLMNR","89","Standard query 0x1311 A Antivirus"
"25","0.274307","192.168.20.201","224.0.0.252","LLMNR","69","Standard query 0x1311 A Antivirus"
"26","0.275247","fe80::9915:2f4d:1f95:cf28","ff02::1:3","LLMNR","89","Standard query 0xdace AAAA Antivirus"
"27","0.275247","192.168.20.201","224.0.0.252","LLMNR","69","Standard query 0xdace AAAA Antivirus"
"28","0.276097","JRCTOKKI_a4:6d:f6","Broadcast","ARP","60","Who has 192.168.153.1? Tell 192.168.153.14"
"29","0.281542","Sophos_be:b2:ba","Broadcast","ARP","60","Who has 10.20.6.43? Tell 10.20.0.1"
"30","0.281542","10.20.5.18","224.0.0.251","MDNS","93","Standard query 0x0000 ANY DESKTOP-NK9OK9S._dosvc._tcp.local, ""QM"" question"
"31","0.281542","fe80::1e3f:5443:5666:ddb4","ff02::fb","MDNS","113","Standard query 0x0000 ANY DESKTOP-NK9OK9S._dosvc._tcp.local, ""QM"" question"
"32","0.295634","MotionContro_5f:93:5b","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.51"
"33","0.334221","a2imarketing_31:ef:73","Broadcast","ARP","60","Who has 192.168.153.1? Tell 192.168.153.23"
"34","0.337272","JRCTOKKI_2f:e4:51","Broadcast","ARP","60","Who has 10.9.8.124? Tell 0.0.0.0"
"35","0.348919","10.20.5.216","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"36","0.425974","a2imarketing_c3:cf:dc","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.46"
"37","0.431862","MotionContro_62:86:67","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.50"
"38","0.450963","MotionContro_5f:a8:ac","Broadcast","ARP","60","Who has 192.168.153.29? Tell 192.168.153.52"
"39","0.451743","10.20.6.103","10.20.7.255","UDP","186","64185  >  51007 Len=144"
"40","0.498354","192.168.20.205","224.0.0.251","MDNS","75","Standard query 0x0000 A Antivirus.local, ""QM"" question"
"41","0.498354","fe80::e880:84c0:7dad:e532","ff02::fb","MDNS","95","Standard query 0x0000 A Antivirus.local, ""QM"" question"
"42","0.498354","192.168.20.205","224.0.0.251","MDNS","75","Standard query 0x0000 AAAA Antivirus.local, ""QM"" question"
"43","0.498354","fe80::e880:84c0:7dad:e532","ff02::fb","MDNS","95","Standard query 0x0000 AAAA Antivirus.local, ""QM"" question"
"44","0.498354","fe80::e880:84c0:7dad:e532","ff02::1:3","LLMNR","89","Standard query 0x228a A Antivirus"
"45","0.498354","172.16.3.4","224.0.0.251","MDNS","85","Standard query response 0x0000 A 172.16.3.4"
"46","0.498656","10.20.5.196","224.0.0.251","MDNS","75","Standard query 0x2df7 PTR Antivirus.local, ""QM"" question"
"47","0.498656","172.16.3.4","224.0.0.251","MDNS","104","Standard query response 0x0000 NSEC Antivirus.local"
"48","0.498656","192.168.20.205","224.0.0.252","LLMNR","69","Standard query 0x228a A Antivirus"
